Sample	System	Organ	CellType
ENCSR702IGQ.Fetal_Stomach.UW_Glass	Gastrointestinal	Stomach	Stomach
ENCSR433XCV.Right_Ventricle.Stanford_Snyder	Cardiovascular	Heart	Ventricle
ENCSR409JSP.Primary_mononuclear_cells_from_peripheral_blood.UCSF_Costello	Blood	Blood	T.cell
ENCSR977XUX.H1_Derived_Neuronal_Progenitor_Cultured_Cells.UCSD_Thomson	Nervous	Brain	ES.derived
ENCSR000AEN.K562_Leukemia_Cells.UConn_Graveley	Blood	Blood	Leukemia
ENCSR993QGR.Esophagus.Stanford_Snyder	Gastrointestinal	Esophagus	Esophagus
ENCSR125NGM.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR000CPM.NHLF_Lung_Fibroblast_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Fibroblast
ENCSR618IQY.Small_Intestine.Stanford_Snyder	Gastrointestinal	Small Intestine	Small Intestine
ENCSR655XQF.Fetal_Skin_Fibroblast_Back.UW_Glass	Skin	Dermis	Fibroblast
ENCSR066FZL.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR292TAP.H1_Derived_Neuron_Cultured_Cells.CSHL_Gingeras	Nervous	Brain	ES.derived
ENCSR719HRO.Small_Intestine.Stanford_Snyder	Gastrointestinal	Small Intestine	Small Intestine
ENCSR697EYE.Foreskin_Melanocyte_Primary_Cells_skin02.UCSF_Costello	Skin	Epidermis	Melanocyte
ENCSR502OTI.Psoas_Muscle.Stanford_Snyder	Musculoskeletal	Muscle	Muscle
ENCSR000AFM.Umbilical_Cord.CSHL_Gingeras	Reproductive	Umbilical cord	Umbilical cord
ENCSR930URM.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR000CPR.HeLa.S3_Cervical_Carcinoma_Cell_Line.CSHL_Gingeras	Reproductive	Cervix	Carcinoma
ENCSR686JJB.Adipose_Nuclei.Stanford_Snyder	Adipose	Adipose	Adipocyte
ENCSR733MWN.Fetal_Lung.UW_Glass	Respiratory	Lung	Lung
ENCSR000CUQ.HEM_Epidermal_Melanocyte_Primary_Cells.CSHL_Gingeras	Skin	Epidermis	Melanocyte
ENCSR000CPE.HepG2_Hepatocellular_Carcinoma_Cell_Line.CSHL_Gingeras	Gastrointestinal	Liver	Carcinoma
ENCSR086DZF.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR320BRR.RPMI.7951_Melanoma_Cell_Line.CSHL_Gingeras	Skin	Epidermis	Melanoma
ENCSR000AAS.Trachea_Smooth_Muscle_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Smooth
ENCSR576UKA.Fetal_Muscle_Back.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR000AAP.Pulmonary_Microvascular_Endothelial_Primary_Cells.CSHL_Gingeras	Respiratory	Lung	Endothelial
ENCSR800JXT.Brain_Germinal_Matrix.UCSF_Costello	Nervous	Brain	Brain
ENCSR000AAB.Bladder_Microvascular_Endothelial_Primary_Cells.CSHL_Gingeras	Urinary	Bladder	Endothelial
ENCSR637GBV.Fetal_Skin_Fibroblast_Back.UW_Glass	Skin	Dermis	Fibroblast
ENCSR598KJX.Adrenal_Gland.Stanford_Snyder	Endocrine	Adrenal	Adrenal
ENCSR495UXA.Fetal_Kidney.UW_Glass	Urinary	Kidney	Kidney
ENCSR002CTR.hESC_Derived_CD184._Endoderm_Cultured_Cells.Harvard	Embryonic	Endoderm	Endoderm
ENCSR828TEI.HSMM_cell_derived_Skeletal_Muscle_Myotubes_Cells.CSHL_Gingeras	Musculoskeletal	Muscle	Skeletal
ENCSR552YAE.Fetal_Kidney_Pelvis.UW_Glass	Urinary	Kidney	Kidney
ENCSR000CTX.Placental_Pericyte_Primary_Cells.CSHL_Gingeras	Reproductive	Placenta	Stromal
ENCSR447IJE.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR120NEA.Fetal_Adrenal_Gland.UW_Glass	Endocrine	Adrenal	Adrenal
ENCSR102TQN.Esophagus.Stanford_Snyder	Gastrointestinal	Esophagus	Esophagus
ENCSR860HAA.Breast_variant_Human_Mammary_Epithelial_Cells_vHMEC.UCSF_Costello	Breast	Skin	Epithelial
ENCSR015EMF.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR000CUN.HMEC_Mammary_Epithelial_Primary_Cells.CSHL_Gingeras	Breast	Skin	Epithelial
ENCSR468FBC.Fetal_Thymus.UW_Glass	Immune	Thymus	Thymus
ENCSR542OHE.Fetal_Spinal_Cord.UW_Glass	Nervous	Brain	Spinal cord
ENCSR000CUG.Saphenous_Vein_Endothelial_Primary_Cells.CSHL_Gingeras	Cardiovascular	Vein	Endothelial
ENCSR436ZKE.Fetal_Kidney_Cortex.UW_Glass	Urinary	Kidney	Kidney
ENCSR561WEX.Fetal_Muscle_Leg.UW_Glass	Musculoskeletal	Muscle	Muscle
ENCSR000AAJ.Dermis_Lymphatic_Vessel_Endothelial_Primary_Cell.CSHL_Gingeras	Skin	Dermis	Endothelial
ENCSR083HYC.H1_BMP4_Derived_Trophoblast_Cultured_Cells.UCSD_Thompson	Embryonic	Trophoblast	ES.derived
ENCSR629VMZ.Pancreas.Stanford_Snyder	Endocrine	Pancreas	Pancreas
ENCSR000CUM.Subcutaneous_Preadipocyte.CSHL_Gingeras	Adipose	Adipose	Preadipocyte
ENCSR373BDG.Kidney_Epithelial_Primary_Cells.CSHL_Gingeras	Urinary	Kidney	Epithelial
ENCSR000AFB.Liver.CSHL_Gingeras	Gastrointestinal	Liver	Liver
ENCSR857VKL.Fetal_Intestine_Large.UW_Glass	Gastrointestinal	Large Intestine	Large Intestine
ENCSR000AEC.GM12878_Lymphoblastoid_Cells.CSHL_Gingeras	Blood	Blood	Lymphoblastoid
ENCSR468ION.HepG2_Hepatocellular_Carcinoma_Cell_Line.UConn_Graveley	Gastrointestinal	Liver	Carcinoma
ENCSR763NOO.Aorta.Stanford_Snyder	Cardiovascular	Aorta	Aorta
ENCSR000CUD.Bone_Marrow_Derived_Cultured_Mesenchymal_Stem_Cells.CSHL_Gingeras	Musculoskeletal	Bone	Stromal
